id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2023-04-04T08:02:09;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2023-04-04T03:02:29;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2023-04-04T05:11:31;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2023-04-03T21:55:56;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2023-04-04T13:19:02;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2023-04-04T00:41:08;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2023-04-04T03:37:40;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2023-04-03T17:40:19;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2023-04-03T20:29:55;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2023-04-03T21:12:20;601;74069
